import time: self [us] | cumulative | imported package
import time:      5552 |      14915 |         numpy._globals
import time:       199 |        199 |           numpy._distributor_init_local
import time:       723 |        921 |         numpy._distributor_init
import time:       258 |        258 |                     _datetime
import time:      6447 |       6704 |                   datetime
import time:       992 |        992 |                   numpy.exceptions
import time:      4232 |       4232 |                   numpy._core._exceptions
import time:      1495 |       1495 |                     contextvars
import time:       902 |       2397 |                   numpy._core.printoptions
import time:       665 |        665 |                   numpy.dtypes
import time:     56533 |      71521 |                 numpy._core._multiarray_umath
import time:       605 |        605 |                   numpy._utils._inspect
import time:      4857 |       5462 |                 numpy._core.overrides
import time:      3454 |      80436 |               numpy._core.multiarray
import time:      3565 |       3565 |               numpy._core.umath
import time:      6034 |       6034 |                 numbers
import time:      4058 |       4058 |                 numpy._core._dtype
import time:       798 |        798 |                 numpy._core._string_helpers
import time:      4451 |       4451 |                 numpy._core._type_aliases
import time:      5148 |      20486 |               numpy._core.numerictypes
import time:      1163 |       1163 |                 numpy._core._ufunc_config
import time:      1204 |       1204 |                       _compat_pickle
import time:       614 |        614 |                       _pickle
import time:      6170 |       7987 |                     pickle
import time:      3489 |      11476 |                   numpy._core._methods
import time:     12793 |      24269 |                 numpy._core.fromnumeric
import time:      8119 |      33550 |               numpy._core._machar
import time:      3509 |       3509 |                   numpy._core.shape_base
import time:       760 |        760 |                   numpy._core._asarray
import time:     19472 |      19472 |                   numpy._core.arrayprint
import time:     19492 |      43232 |                 numpy._core.numeric
import time:      5445 |      48676 |               numpy._core.einsumfunc
import time:      1276 |       1276 |               numpy._core.function_base
import time:      8551 |       8551 |               numpy._core.getlimits
import time:      1038 |       1038 |               numpy._core.memmap
import time:      1620 |       1620 |               numpy._core.records
import time:     16860 |      16860 |               numpy._core._add_newdocs
import time:      2518 |       2518 |               numpy._core._add_newdocs_scalars
import time:       862 |        862 |               numpy._core._dtype_ctypes
import time:      5412 |       5412 |                   sysconfig
import time:      1024 |       1024 |                   _ctypes
import time:      5663 |       5663 |                   ctypes._endian
import time:     19342 |      31440 |                 ctypes
import time:     12215 |      43654 |               numpy._core._internal
import time:       739 |        739 |               numpy._pytesttester
import time:     25781 |     289603 |             numpy._core
import time:       133 |     289736 |           numpy._core._multiarray_umath
import time:      6682 |     296418 |         numpy.__config__
import time:      4360 |       4360 |                           numpy._typing._nbit_base
import time:      1182 |       1182 |                           numpy._typing._nested_sequence
import time:       672 |        672 |                           numpy._typing._shape
import time:     15485 |      21698 |                         numpy._typing._array_like
import time:      7375 |       7375 |                         numpy._typing._char_codes
import time:      6665 |       6665 |                         numpy._typing._dtype_like
import time:       746 |        746 |                         numpy._typing._nbit
import time:       681 |        681 |                         numpy._typing._scalars
import time:       499 |        499 |                         numpy._typing._ufunc
import time:     11245 |      48907 |                       numpy._typing
import time:      1290 |       1290 |                         numpy.lib._stride_tricks_impl
import time:      2506 |       3796 |                       numpy.lib._twodim_base_impl
import time:       565 |        565 |                         numpy.lib._array_utils_impl
import time:      1236 |       1801 |                       numpy.lib.array_utils
import time:      1409 |       1409 |                       numpy.linalg._umath_linalg
import time:     19705 |      75616 |                     numpy.linalg._linalg
import time:       580 |        580 |                     numpy.linalg.linalg
import time:      5639 |      81833 |                   numpy.linalg
import time:      5166 |      86999 |                 numpy.matrixlib.defmatrix
import time:      2309 |      89308 |               numpy.matrixlib
import time:      1513 |       1513 |                 numpy.lib._histograms_impl
import time:      5834 |       7346 |               numpy.lib._function_base_impl
import time:       638 |        638 |               numpy.lib.stride_tricks
import time:      7265 |     104556 |             numpy.lib._index_tricks_impl
import time:      5177 |     109732 |           numpy.lib._arraypad_impl
import time:      4305 |       4305 |           numpy.lib._arraysetops_impl
import time:       921 |        921 |           numpy.lib._arrayterator_impl
import time:      2526 |       2526 |           numpy.lib._nanfunctions_impl
import time:       319 |        319 |                     _wmi
import time:      3221 |       3540 |                   platform
import time:      2865 |       6405 |                 numpy.lib._utils_impl
import time:      1794 |       8198 |               numpy.lib._format_impl
import time:      1380 |       9578 |             numpy.lib.format
import time:      2883 |       2883 |             numpy.lib._datasource
import time:      1572 |       1572 |             numpy.lib._iotools
import time:      5841 |      19873 |           numpy.lib._npyio_impl
import time:       751 |        751 |               numpy.lib._ufunclike_impl
import time:      2145 |       2896 |             numpy.lib._type_check_impl
import time:      3450 |       6345 |           numpy.lib._polynomial_impl
import time:      2953 |       2953 |           numpy.lib._shape_base_impl
import time:       743 |        743 |           numpy.lib._version
import time:       496 |        496 |           numpy.lib.introspect
import time:       789 |        789 |           numpy.lib.mixins
import time:      2172 |       2172 |           numpy.lib.npyio
import time:      1199 |       1199 |             numpy.lib._scimath_impl
import time:      1474 |       2672 |           numpy.lib.scimath
import time:      5702 |     159223 |         numpy.lib
import time:       847 |        847 |         numpy._array_api_info
import time:     29069 |     503148 |       numpy
import time:       818 |        818 |           numpy.core._utils
import time:      1676 |       2494 |         numpy.core
import time:       827 |       3320 |       numpy.core.multiarray
import time:       861 |        861 |       cv2.load_config_py3
import time:       595 |        595 |       cv2.version
import time:      1163 |       1163 |       cv2.misc.version
import time:       593 |        593 |       cv2.mat_wrapper
import time:    207692 |     717368 |     cv2
import time:       945 |        945 |       PIL._version
import time:      1534 |       2478 |     PIL
import time:     16587 |      16587 |       PIL.ExifTags
import time:      2234 |       2234 |       PIL.ImageMode
import time:      3099 |       3099 |       PIL.TiffTags
import time:       844 |        844 |       PIL._binary
import time:       820 |        820 |       PIL._deprecate
import time:       661 |        661 |       PIL._util
import time:       377 |        377 |       defusedxml
import time:      3561 |       3561 |       PIL._imaging
import time:     15219 |      43398 |     PIL.Image
import time:       845 |        845 |       PIL.ImageColor
import time:       951 |        951 |           PIL._typing
import time:      3392 |       3392 |           PIL._imagingft
import time:      3698 |       8040 |         PIL.ImageFont
import time:      2824 |      10863 |       PIL.ImageText
import time:      1845 |      13553 |     PIL.ImageDraw
import time:      6344 |       6344 |     app.core.dto
import time:      1336 |       1336 |     app.core.interfaces
import time:       231 |        231 |       gc
import time:       550 |        550 |       app.core.vision_utils
import time:       579 |        579 |       app.core.ocr_corrector
import time:      6836 |       6836 |         typing_extensions
import time:      7533 |       7533 |         torch._utils
import time:       506 |        506 |             torch._strobelight
import time:       278 |        278 |                   _json
import time:      2485 |       2763 |                 json.scanner
import time:      2584 |       5347 |               json.decoder
import time:      1589 |       1589 |               json.encoder
import time:      2325 |       9260 |             json
import time:       819 |        819 |               _socket
import time:      7308 |       8127 |             socket
import time:       962 |        962 |               timeit
import time:      2686 |       3647 |             torch._strobelight.cli_function_profiler
import time:      5226 |      26764 |           torch._strobelight.compile_time_profiler
import time:      2024 |      28787 |         torch._utils_internal
import time:       477 |        477 |               torch._vendor
import time:      1080 |       1557 |             torch._vendor.packaging
import time:      1008 |       1008 |             torch._vendor.packaging._structures
import time:      7962 |      10526 |           torch._vendor.packaging.version
import time:       759 |        759 |           torch.version
import time:      2632 |      13916 |         torch.torch_version
import time:       173 |        173 |         torch._rocm_init
import time:      1078 |       1078 |           torch._opaque_base
import time:   1452075 |    1453153 |         torch._C
import time:       897 |        897 |           torch._namedtensor_internals
import time:     18586 |      18586 |           torch.overrides
import time:     13691 |      33173 |         torch._tensor
import time:      2045 |       2045 |           torch.types
import time:      5395 |       7440 |         torch.storage
import time:      1699 |       1699 |           torch.amp.autocast_mode
import time:      2110 |       2110 |           torch.amp.grad_scaler
import time:      3592 |       7400 |         torch.amp
import time:      1000 |       1000 |         torch.random
import time:      2791 |       2791 |           difflib
import time:      7118 |       7118 |           tarfile
import time:      1781 |       1781 |           torch._weights_only_unpickler
import time:      2163 |       2163 |           torch._sources
import time:       495 |        495 |           mmap
import time:     13227 |      27573 |         torch.serialization
import time:      4097 |       4097 |         torch._tensor_str
import time:      1343 |       1343 |           torch.cuda._device_limits
import time:      1114 |       1114 |           torch.cuda.gds
import time:       641 |        641 |               cuda
import time:       847 |        847 |                 cuda.bindings.utils._nvvm_utils
import time:      1877 |       1877 |                 cuda.bindings.utils._ptx_utils
import time:       582 |        582 |                 cuda.bindings.utils._version_check
import time:      3763 |       7067 |               cuda.bindings.utils
import time:       660 |        660 |               cuda.bindings._version
import time:     21730 |      30096 |             cuda.bindings
import time:      3761 |       3761 |                     cuda.bindings._bindings
import time:      6684 |      10445 |                   cuda.bindings._bindings.cydriver
import time:      6202 |      16646 |                 cuda.bindings.cydriver
import time:      6691 |       6691 |                   cuda.bindings._internal
import time:      2001 |       8692 |                 cuda.bindings._internal._fast_enum
import time:     93834 |     119170 |               cuda.bindings.driver
import time:      1943 |       1943 |                   cuda.bindings._bindings.cyruntime_ptds
import time:      4423 |       6365 |                 cuda.bindings._bindings.cyruntime
import time:       385 |        385 |                     cuda.pathfinder._binaries
import time:       546 |        546 |                     cuda.pathfinder._binaries.supported_nvidia_binaries
import time:       348 |        348 |                       cuda.pathfinder._utils
import time:       861 |       1208 |                     cuda.pathfinder._utils.env_vars
import time:      1996 |       1996 |                     cuda.pathfinder._utils.find_sub_dirs
import time:       934 |        934 |                     cuda.pathfinder._utils.platform_aware
import time:      3095 |       8161 |                   cuda.pathfinder._binaries.find_nvidia_binary_utility
import time:       315 |        315 |                     cuda.pathfinder._dynamic_libs
import time:      3383 |       3697 |                   cuda.pathfinder._dynamic_libs.load_dl_common
import time:      6691 |       6691 |                       cuda.pathfinder._dynamic_libs.descriptor_catalog
import time:      1661 |       8351 |                     cuda.pathfinder._dynamic_libs.lib_descriptor
import time:       920 |        920 |                           ctypes._layout
import time:      2312 |       3231 |                         ctypes.util
import time:     18611 |      21842 |                       cuda.pathfinder._dynamic_libs.load_dl_linux
import time:      1568 |      23410 |                     cuda.pathfinder._dynamic_libs.platform_loader
import time:       813 |        813 |                         cuda.pathfinder._dynamic_libs.supported_nvidia_libs
import time:      6373 |       7185 |                       cuda.pathfinder._dynamic_libs.search_platform
import time:      4858 |      12043 |                     cuda.pathfinder._dynamic_libs.search_steps
import time:      5005 |       5005 |                     cuda.pathfinder._dynamic_libs.subprocess_protocol
import time:      3652 |      52459 |                   cuda.pathfinder._dynamic_libs.load_nvidia_dynamic_lib
import time:       393 |        393 |                     cuda.pathfinder._headers
import time:      8324 |       8324 |                       cuda.pathfinder._headers.header_descriptor_catalog
import time:      1432 |       9755 |                     cuda.pathfinder._headers.header_descriptor
import time:      4218 |      14365 |                   cuda.pathfinder._headers.find_nvidia_headers
import time:       816 |        816 |                   cuda.pathfinder._headers.supported_nvidia_headers
import time:       351 |        351 |                     cuda.pathfinder._static_libs
import time:      4676 |       5027 |                   cuda.pathfinder._static_libs.find_bitcode_lib
import time:      4321 |       4321 |                   cuda.pathfinder._static_libs.find_static_lib
import time:       665 |        665 |                   cuda.pathfinder._version
import time:      6853 |      96359 |                 cuda.pathfinder
import time:      3051 |     105774 |               cuda.bindings.cyruntime
import time:     59293 |     284237 |             cuda.bindings.runtime
import time:     17969 |     332301 |           torch.cuda._utils
import time:      2573 |       2573 |           torch.cuda.graphs
import time:      1049 |       1049 |           torch.cuda.green_contexts
import time:      1585 |       1585 |           torch.cuda.streams
import time:       439 |        439 |           pynvml
import time:      1795 |       1795 |             torch.cuda._memory_viz
import time:      4590 |       6384 |           torch.cuda.memory
import time:       996 |        996 |           torch.cuda.random
import time:      1169 |       1169 |             torch.cuda.amp.autocast_mode
import time:       764 |        764 |             torch.cuda.amp.common
import time:       571 |        571 |             torch.cuda.amp.grad_scaler
import time:      1505 |       4007 |           torch.cuda.amp
import time:       685 |        685 |           torch.cuda.jiterator
import time:       536 |        536 |           torch.cuda.nvtx
import time:       501 |        501 |           torch.cuda.profiler
import time:       360 |        360 |           torch.cuda.sparse
import time:       640 |        640 |               concurrent
import time:      2744 |       2744 |               concurrent.futures._base
import time:       635 |        635 |               _interpreters
import time:      2588 |       6606 |             concurrent.futures
import time:      3036 |       3036 |                 multiprocessing.process
import time:       392 |        392 |                   array
import time:      2028 |       2419 |                 multiprocessing.reduction
import time:      2933 |       8387 |               multiprocessing.context
import time:      1114 |       9500 |             multiprocessing
import time:      1753 |      17858 |           torch.cuda.tunable
import time:     26277 |     398001 |         torch.cuda
import time:      1053 |       1053 |             torch.sparse._semi_structured_conversions
import time:       858 |        858 |             torch.sparse._semi_structured_ops
import time:      3592 |       5502 |           torch.sparse.semi_structured
import time:      2261 |       7762 |         torch.sparse
import time:       673 |        673 |         torch._compile
import time:       510 |        510 |         torch._VF
import time:      1702 |       1702 |               torch.nn.parameter
import time:      5219 |       5219 |                   torch._prims_common
import time:       961 |        961 |                       torch.utils.backcompat
import time:      5128 |       5128 |                       torch.utils.collect_env
import time:       473 |        473 |                                     torch.distributed._pycute.typing
import time:      1026 |       1499 |                                   torch.distributed._pycute.int_tuple
import time:       991 |        991 |                                   torch.distributed._pycute.layout
import time:      1334 |       3823 |                                 torch.distributed._pycute
import time:      2915 |       6738 |                               torch.distributed._mesh_layout
import time:      1009 |       1009 |                               torch.utils._typing_utils
import time:      4867 |       4867 |                                     _hashlib
import time:       291 |        291 |                                     _blake2
import time:      2103 |       7260 |                                   hashlib
import time:      1173 |       1173 |                                       unittest.util
import time:      2091 |       3264 |                                     unittest.result
import time:      1555 |       1555 |                                       pprint
import time:      5779 |       7333 |                                     unittest.case
import time:      1463 |       1463 |                                     unittest.suite
import time:      2660 |       2660 |                                     unittest.loader
import time:       700 |        700 |                                         unittest.signals
import time:      1974 |       2673 |                                       unittest.runner
import time:      2970 |       5643 |                                     unittest.main
import time:      5111 |      25472 |                                   unittest
import time:      8307 |      41038 |                                 torch.utils._config_module
import time:      2930 |      43968 |                               torch.distributed.config
import time:       965 |        965 |                                 torch.monitor
import time:       619 |        619 |                                   torch.distributed.logging_handlers
import time:      1473 |       2092 |                                 torch.distributed.c10d_logger
import time:       721 |        721 |                                 torch.distributed.constants
import time:       787 |        787 |                                     urllib
import time:      5611 |       5611 |                                     ipaddress
import time:      6182 |      12579 |                                   urllib.parse
import time:      2417 |      14995 |                                 torch.distributed.rendezvous
import time:       298 |        298 |                                   torchcomms
import time:        95 |        392 |                                 torchcomms._comms
import time:       215 |        215 |                                   torchcomms
import time:        55 |        269 |                                 torchcomms._backend_wrapper
import time:     11341 |      30773 |                               torch.distributed.distributed_c10d
import time:      9649 |      92135 |                             torch.distributed.device_mesh
import time:      1082 |       1082 |                             torch.distributed.remote_device
import time:     16809 |     110025 |                           torch.distributed
import time:      1369 |       1369 |                                           torch.utils.data.datapipes._hook_iterator
import time:      2484 |       3853 |                                         torch.utils.data.datapipes._typing
import time:       654 |        654 |                                           torch.utils._import_utils
import time:       514 |        514 |                                             torch.utils.data.datapipes.utils
import time:      1551 |       2065 |                                           torch.utils.data.datapipes.utils.common
import time:      2461 |       2461 |                                           torch.utils.data.dataset
import time:      6232 |      11410 |                                         torch.utils.data.datapipes.datapipe
import time:      2352 |      17614 |                                       torch.utils.data.datapipes._decorator
import time:       560 |        560 |                                         torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:       945 |       1504 |                                       torch.utils.data.datapipes.dataframe.structures
import time:      3050 |      22166 |                                     torch.utils.data.datapipes.dataframe.dataframes
import time:      2818 |       2818 |                                     torch.utils.data.datapipes.dataframe.datapipes
import time:      1838 |      26822 |                                   torch.utils.data.datapipes.dataframe
import time:      1177 |       1177 |                                           torch.utils.data._utils.collate
import time:       654 |        654 |                                           torch.utils.data._utils.fetch
import time:       716 |        716 |                                           torch.utils.data._utils.pin_memory
import time:       575 |        575 |                                           torch.utils.data._utils.signal_handling
import time:      8249 |       8249 |                                           torch.utils.data._utils.worker
import time:      1010 |      12379 |                                         torch.utils.data._utils
import time:        71 |      12450 |                                       torch.utils.data._utils.collate
import time:      2143 |      14592 |                                     torch.utils.data.datapipes.iter.callable
import time:      1851 |       1851 |                                       torch.utils.data.sampler
import time:      3094 |       4944 |                                     torch.utils.data.datapipes.iter.combinatorics
import time:      2857 |       2857 |                                     torch.utils.data.datapipes.iter.combining
import time:       849 |        849 |                                       torch.utils.data.datapipes.iter.utils
import time:      1577 |       2426 |                                     torch.utils.data.datapipes.iter.filelister
import time:       725 |        725 |                                     torch.utils.data.datapipes.iter.fileopener
import time:      1546 |       1546 |                                     torch.utils.data.datapipes.iter.grouping
import time:      1200 |       1200 |                                       torch.utils.data.datapipes.utils.decoder
import time:      2193 |       3392 |                                     torch.utils.data.datapipes.iter.routeddecoder
import time:      1230 |       1230 |                                     torch.utils.data.datapipes.iter.selecting
import time:      1443 |       1443 |                                     torch.utils.data.datapipes.iter.sharding
import time:       799 |        799 |                                     torch.utils.data.datapipes.iter.streamreader
import time:      5457 |      39405 |                                   torch.utils.data.datapipes.iter
import time:      1285 |       1285 |                                     torch.utils.data.datapipes.map.callable
import time:      1261 |       1261 |                                     torch.utils.data.datapipes.map.combinatorics
import time:      2205 |       2205 |                                     torch.utils.data.datapipes.map.combining
import time:      1168 |       1168 |                                     torch.utils.data.datapipes.map.grouping
import time:      1011 |       1011 |                                     torch.utils.data.datapipes.map.utils
import time:      3381 |      10308 |                                   torch.utils.data.datapipes.map
import time:       986 |      77520 |                                 torch.utils.data.datapipes
import time:        77 |      77597 |                               torch.utils.data.datapipes.iter
import time:        76 |      77673 |                             torch.utils.data.datapipes.iter.sharding
import time:       774 |        774 |                             torch.utils.data.graph
import time:      1617 |      80063 |                           torch.utils.data.graph_settings
import time:      2703 |     192790 |                         torch.utils.data.dataloader
import time:       918 |        918 |                         torch.utils.data.distributed
import time:      2353 |     196060 |                       torch.utils.data
import time:       514 |        514 |                       torch.utils.deterministic
import time:      1139 |       1139 |                       torch.utils.hooks
import time:      1102 |       1102 |                       torch.utils.backend_registration
import time:       423 |        423 |                       torch.utils.cpp_backtrace
import time:      1043 |       1043 |                       torch.utils.throughput_benchmark
import time:      3305 |     209672 |                     torch.utils
import time:       508 |        508 |                     torchgen
import time:      1634 |       1634 |                         torchgen.code_template
import time:     14934 |      16568 |                       torchgen.utils
import time:     60100 |      76667 |                     torchgen.model
import time:      4818 |     291663 |                   torch.utils._python_dispatch
import time:      7930 |     304811 |                 torch.nn.modules.module
import time:      1436 |       1436 |                         torch.distributed.autograd
import time:      1509 |       1509 |                           torch.futures
import time:       861 |        861 |                           torch.distributed.rpc._utils
import time:       808 |        808 |                           torch.distributed.rpc.constants
import time:      2102 |       2102 |                           torch.distributed.rpc.internal
import time:      6033 |      11310 |                         torch.distributed.rpc.api
import time:      2426 |       2426 |                         torch.distributed.rpc.backend_registry
import time:       496 |        496 |                         torch.distributed.rpc.functions
import time:      1078 |       1078 |                         torch.distributed.rpc.options
import time:       811 |        811 |                                     email
import time:      1303 |       1303 |                                     importlib.metadata._meta
import time:      1190 |       1190 |                                     importlib.metadata._collections
import time:       787 |        787 |                                     importlib.metadata._functools
import time:       565 |        565 |                                     importlib.metadata._itertools
import time:      5275 |       5275 |                                     importlib.abc
import time:     10385 |      20313 |                                   importlib.metadata
import time:       794 |        794 |                                             torch._functorch
import time:      1337 |       1337 |                                                 torch.utils._contextlib
import time:      3015 |       4352 |                                               torch.autograd.grad_mode
import time:      3066 |       7418 |                                             torch.autograd.forward_ad
import time:      3095 |      11307 |                                           torch._functorch.pyfunctorch
import time:      5185 |      16491 |                                         torch._ops
import time:      4792 |       4792 |                                         torch._library.utils
import time:      4254 |      25535 |                                       torch._library.autograd
import time:      2104 |       2104 |                                       torch._library.fake_impl
import time:      2403 |       2403 |                                         torch._library.effects
import time:      2271 |       4674 |                                       torch._library.simple_registry
import time:      1744 |       1744 |                                       torch._library.fake_class_registry
import time:      1061 |       1061 |                                         torch.utils._exposed_in
import time:      2939 |       2939 |                                         torch._library.custom_ops
import time:      4481 |       4481 |                                           torch._library.opaque_object
import time:      3008 |       7488 |                                         torch._library.infer_schema
import time:      3930 |      15417 |                                       torch._library.triton
import time:      2701 |      52173 |                                     torch._library
import time:       173 |      52346 |                                   torch._library.opaque_object
import time:     26167 |      98825 |                                 torch.utils._pytree
import time:      2593 |     101417 |                               torch._vmap_internals
import time:      2438 |       2438 |                               torch.autograd.functional
import time:       670 |        670 |                                 torch.autograd.variable
import time:      4277 |       4947 |                               torch.autograd.graph
