import time: self [us] | cumulative | imported package
import time:       895 |        895 |                 torch.nn.modules.fold
import time:      1403 |       1403 |                 torch.nn.modules.instancenorm
import time:      2953 |       2953 |                 torch.nn.modules.loss
import time:       995 |        995 |                 torch.nn.modules.normalization
import time:      1793 |       1793 |                 torch.nn.modules.padding
import time:       790 |        790 |                 torch.nn.modules.pixelshuffle
import time:      2208 |       2208 |                 torch.nn.modules.pooling
import time:       439 |        439 |                           torch.__future__
import time:     10208 |      10647 |                         torch.nn.utils.parametrize
import time:      2060 |      12706 |                       torch.nn.utils.parametrizations
import time:      1844 |       1844 |                       torch.nn.utils.rnn
import time:       794 |        794 |                         torch.nn.utils._named_member_accessor
import time:      1695 |       2489 |                       torch.nn.utils.stateless
import time:       694 |        694 |                         torch.utils._foreach_utils
import time:      1857 |       2551 |                       torch.nn.utils.clip_grad
import time:       573 |        573 |                       torch.nn.utils.convert_parameters
import time:      1056 |       1056 |                       torch.nn.utils.fusion
import time:       531 |        531 |                       torch.nn.utils.init
import time:       925 |        925 |                       torch.nn.utils.memory_format
import time:      1440 |       1440 |                       torch.nn.utils.spectral_norm
import time:      1192 |       1192 |                       torch.nn.utils.weight_norm
import time:      4130 |      29431 |                     torch.nn.utils
import time:       113 |      29544 |                   torch.nn.utils.rnn
import time:      7039 |      36583 |                 torch.nn.modules.rnn
import time:      1271 |       1271 |                 torch.nn.modules.sparse
import time:      1874 |       1874 |                 torch.nn.modules.transformer
import time:      1279 |       1279 |                 torch.nn.modules.upsampling
import time:     19586 |     649052 |               torch.nn.modules
import time:       695 |        695 |                     torch.backends.cpu
import time:      1396 |       1396 |                     torch.backends.cuda
import time:       788 |        788 |                       torch.backends.cudnn.rnn
import time:      1526 |       2313 |                     torch.backends.cudnn
import time:       571 |        571 |                     torch.backends.cusparselt
import time:       419 |        419 |                     torch.backends.kleidiai
import time:       460 |        460 |                     torch.backends.mha
import time:       559 |        559 |                     torch.backends.miopen
import time:       443 |        443 |                     torch.backends.mkl
import time:       951 |        951 |                     torch.backends.mkldnn
import time:      3494 |       3494 |                       torch.library
import time:      2288 |       5782 |                     torch.backends.mps
import time:       942 |        942 |                     torch.backends.nnpack
import time:       771 |        771 |                     torch.backends.openmp
import time:       291 |        291 |                       opt_einsum
import time:      1032 |       1322 |                     torch.backends.opt_einsum
import time:      1279 |       1279 |                     torch.backends.python_native
import time:       754 |        754 |                     torch.backends.quantized
import time:      3153 |      21801 |                   torch.backends
import time:        80 |      21880 |                 torch.backends.cuda
import time:      1186 |       1186 |                 torch.nn.attention._registry
import time:      2332 |       2332 |                 torch.nn.attention._fa3
import time:      2827 |       2827 |                 torch.nn.attention._fa4
import time:      2499 |      30722 |               torch.nn.attention
import time:       565 |        565 |                   torch.nn.parallel.parallel_apply
import time:       788 |        788 |                       torch.cuda.nccl
import time:       680 |       1468 |                     torch.nn.parallel.comm
import time:      1086 |       2553 |                   torch.nn.parallel.replicate
import time:      1133 |       1133 |                     torch.nn.parallel._functions
import time:      1264 |       2397 |                   torch.nn.parallel.scatter_gather
import time:      2699 |       8213 |                 torch.nn.parallel.data_parallel
import time:      1847 |       1847 |                       torch.distributed.algorithms.join
import time:      1349 |       3196 |                     torch.distributed.algorithms
import time:        97 |       3292 |                   torch.distributed.algorithms.join
import time:      1432 |       1432 |                   torch.distributed.utils
import time:      8548 |      13271 |                 torch.nn.parallel.distributed
import time:      3340 |      24823 |               torch.nn.parallel
import time:      1974 |     708271 |             torch.nn
import time:        71 |     708341 |           torch.nn.functional
import time:       628 |        628 |             torch._linalg_utils
import time:      1006 |       1634 |           torch._lowrank
import time:      6572 |     716546 |         torch.functional
import time:       693 |        693 |         torch.__config__
import time:       665 |        665 |           torch.accelerator._utils
import time:       858 |        858 |           torch.accelerator.graphs
import time:       758 |        758 |           torch.accelerator.memory
import time:      3901 |       6181 |         torch.accelerator
import time:       785 |        785 |             torch.cpu.amp.autocast_mode
import time:       800 |        800 |             torch.cpu.amp.grad_scaler
import time:      1305 |       2890 |           torch.cpu.amp
import time:      1686 |       4576 |         torch.cpu
import time:      2487 |       2487 |             torch.distributions.constraints
import time:      1309 |       1309 |               torch.distributions.utils
import time:      2044 |       3353 |             torch.distributions.distribution
import time:      7238 |      13076 |           torch.distributions.transforms
import time:       651 |        651 |             torch.distributions.exp_family
import time:      1605 |       2256 |           torch.distributions.bernoulli
import time:      1156 |       1156 |             torch.distributions.dirichlet
import time:      1454 |       2609 |           torch.distributions.beta
import time:       809 |        809 |           torch.distributions.binomial
import time:       749 |        749 |           torch.distributions.categorical
import time:       891 |        891 |           torch.distributions.cauchy
import time:       874 |        874 |             torch.distributions.gamma
import time:      1268 |       2141 |           torch.distributions.chi2
import time:      1112 |       1112 |           torch.distributions.constraint_registry
import time:      1024 |       1024 |           torch.distributions.continuous_bernoulli
import time:       622 |        622 |           torch.distributions.exponential
import time:       619 |        619 |           torch.distributions.fishersnedecor
import time:       626 |        626 |           torch.distributions.generalized_pareto
import time:      3414 |       3414 |           torch.distributions.geometric
import time:      1431 |       1431 |               torch.distributions.independent
import time:      3296 |       4726 |             torch.distributions.transformed_distribution
import time:      1362 |       1362 |             torch.distributions.uniform
import time:      2543 |       8630 |           torch.distributions.gumbel
import time:      1302 |       1302 |           torch.distributions.half_cauchy
import time:      1565 |       1565 |             torch.distributions.normal
import time:      1587 |       3152 |           torch.distributions.half_normal
import time:      1235 |       1235 |           torch.distributions.inverse_gamma
import time:      1321 |       1321 |             torch.distributions.laplace
import time:      1182 |       1182 |               torch.distributions.multivariate_normal
import time:      2394 |       3575 |             torch.distributions.lowrank_multivariate_normal
import time:      1326 |       1326 |             torch.distributions.one_hot_categorical
import time:      1150 |       1150 |             torch.distributions.pareto
import time:      1098 |       1098 |             torch.distributions.poisson
import time:      6096 |      14564 |           torch.distributions.kl
import time:       948 |        948 |           torch.distributions.kumaraswamy
import time:       818 |        818 |           torch.distributions.lkj_cholesky
import time:       745 |        745 |           torch.distributions.log_normal
import time:       627 |        627 |           torch.distributions.logistic_normal
import time:      1786 |       1786 |           torch.distributions.mixture_same_family
import time:      1522 |       1522 |           torch.distributions.multinomial
import time:      1340 |       1340 |           torch.distributions.negative_binomial
import time:       926 |        926 |           torch.distributions.relaxed_bernoulli
import time:       815 |        815 |           torch.distributions.relaxed_categorical
import time:       609 |        609 |           torch.distributions.studentT
import time:       696 |        696 |                 torch.jit._builtins
import time:      3973 |       4669 |               torch.jit._async
import time:       844 |        844 |               torch.jit._await
import time:      1133 |       1133 |               torch.jit._decomposition_utils
import time:       765 |        765 |                   torch._classes
import time:       903 |        903 |                   torch.jit._fuser
import time:       238 |        238 |                     monkeytype
import time:       905 |       1142 |                   torch.jit._monkeytype_config
import time:      1256 |       1256 |                     torch.jit._check
import time:      1231 |       1231 |                     torch.jit._state
import time:      3561 |       3561 |                       torch.jit.annotations
import time:       986 |        986 |                       torch.jit._dataclass_impls
import time:      5336 |       9881 |                     torch.jit.frontend
import time:      5920 |      18286 |                   torch.jit._recursive
import time:      1216 |       1216 |                   torch.jit._serialization
import time:     10172 |      32482 |                 torch.jit._script
import time:      3031 |      35513 |               torch.jit._freeze
import time:      1112 |       1112 |               torch.jit._ir_utils
import time:      4439 |       4439 |               torch.jit._trace
import time:      5869 |      53575 |             torch.jit
import time:      1793 |      55368 |           torch.distributions.von_mises
import time:      1037 |       1037 |           torch.distributions.weibull
import time:      1090 |       1090 |           torch.distributions.wishart
import time:     14974 |     141421 |         torch.distributions
import time:      1409 |       1409 |         torch.fft
import time:       838 |        838 |             urllib.response
import time:      1300 |       2137 |           urllib.error
import time:      2713 |       2713 |               http
import time:      1418 |       1418 |                   email.errors
import time:       731 |        731 |                       email.quoprimime
import time:       563 |        563 |                       email.base64mime
import time:       571 |        571 |                           quopri
import time:      1222 |       1792 |                         email.encoders
import time:      1557 |       3349 |                       email.charset
import time:      2954 |       7595 |                     email.header
import time:      1479 |       1479 |                       email._parseaddr
import time:      3718 |       5196 |                     email.utils
import time:      4102 |      16893 |                   email._policybase
import time:      3261 |      21571 |                 email.feedparser
import time:      2818 |      24389 |               email.parser
import time:      1468 |       1468 |                 email._encoded_words
import time:       582 |        582 |                 email.iterators
import time:      3868 |       5917 |               email.message
import time:      3050 |       3050 |                 _ssl
import time:      8797 |      11847 |               ssl
import time:      6446 |      51310 |             http.client
import time:      5184 |      56493 |           urllib.request
import time:       991 |        991 |             tqdm._monitor
import time:       449 |        449 |             tqdm._tqdm_pandas
import time:       227 |        227 |                   unicodedata
import time:       247 |        247 |                   envwrap
import time:      1835 |       2308 |                 tqdm.utils
import time:      4090 |       6398 |               tqdm.std
import time:       692 |        692 |                   importlib.metadata._text
import time:      1589 |       2280 |                 importlib.metadata._adapters
import time:      9762 |      12041 |               tqdm.version
import time:      3715 |      22152 |             tqdm.cli
import time:      1257 |       1257 |             tqdm.gui
import time:      3319 |      28167 |           tqdm
import time:      5034 |      91830 |         torch.hub
import time:      1477 |       1477 |         torch.linalg
import time:      1325 |       1325 |           torch.mps.profiler
import time:       901 |        901 |           torch.mps.event
import time:      2602 |       4827 |         torch.mps
import time:       565 |        565 |           torch._environment
import time:       717 |        717 |           torch.mtia._utils
import time:      1713 |       1713 |           torch.mtia.memory
import time:       988 |        988 |           torch.mtia.mtia_graph
import time:      3578 |       7559 |         torch.mtia
import time:      1328 |       1328 |             multiprocessing.util
import time:      1439 |       1439 |             multiprocessing.resource_sharer
import time:      2050 |       4816 |           torch.multiprocessing.reductions
import time:       190 |        190 |               _multiprocessing
import time:       228 |        228 |               _winapi
import time:      2288 |       2704 |             multiprocessing.connection
import time:      1557 |       1557 |             concurrent.futures.thread
import time:      1854 |       6114 |           torch.multiprocessing.spawn
import time:       571 |        571 |               runpy
import time:      1132 |       1703 |             multiprocessing.spawn
import time:       338 |        338 |             _posixshmem
import time:     11647 |      13687 |           multiprocessing.resource_tracker
import time:      3143 |      27759 |         torch.multiprocessing
import time:       659 |        659 |             torch.nested._internal
import time:      1065 |       1065 |                       torch.fx._compatibility
import time:      2637 |       3702 |                     torch.fx.immutable_collections
import time:       464 |        464 |                           torch.fx.experimental
import time:      3361 |       3361 |                           torch.fx.experimental._config
import time:      1141 |       1141 |                             torch.utils._dtype_abbrs
import time:      2425 |       2425 |                               torch.return_types
import time:      1033 |       3458 |                             torch.fx._pytree
import time:       315 |        315 |                                 torch.utils._inspect
import time:      2577 |       2891 |                               torch.fx.operator_schemas
import time:     21387 |      24277 |                             torch.fx.node
import time:     11092 |      39967 |                           torch.fx.graph
import time:      4207 |      47996 |                         torch.fx.graph_module
import time:      1975 |      49971 |                       torch.fx._lazy_graph_module
import time:      2398 |       2398 |                         torch.fx.traceback
import time:      2433 |       2433 |                               pkgutil
import time:      1080 |       1080 |                               torch._logging.structured
import time:      1349 |       1349 |                                       asyncio.constants
import time:      1271 |       1271 |                                       asyncio.coroutines
import time:      1790 |       1790 |                                         asyncio.format_helpers
import time:       649 |        649 |                                           asyncio.base_futures
import time:       929 |        929 |                                           asyncio.exceptions
import time:       801 |        801 |                                           asyncio.base_tasks
import time:       865 |       3242 |                                         _asyncio
import time:      3080 |       8111 |                                       asyncio.events
import time:      1208 |       1208 |                                       asyncio.futures
import time:       807 |        807 |                                       asyncio.protocols
import time:      1250 |       1250 |                                         asyncio.transports
import time:       497 |        497 |                                         asyncio.log
import time:      4223 |       5969 |                                       asyncio.sslproto
import time:       793 |        793 |                                           asyncio.mixins
import time:      2399 |       3192 |                                         asyncio.locks
import time:      1426 |       1426 |                                           asyncio.queues
import time:      1161 |       1161 |                                           asyncio.timeouts
import time:      2192 |       4777 |                                         asyncio.tasks
import time:       987 |       8955 |                                       asyncio.staggered
import time:       557 |        557 |                                       asyncio.trsock
import time:      5357 |      33581 |                                     asyncio.base_events
import time:      5128 |       5128 |                                     asyncio.graph
import time:      1386 |       1386 |                                     asyncio.runners
import time:      2878 |       2878 |                                     asyncio.streams
import time:      1086 |       1086 |                                     asyncio.subprocess
import time:       620 |        620 |                                     asyncio.taskgroups
import time:       692 |        692 |                                     asyncio.threads
import time:      1160 |       1160 |                                       asyncio.base_subprocess
import time:      2368 |       2368 |                                       asyncio.selector_events
import time:      3189 |       6717 |                                     asyncio.unix_events
import time:     11215 |      63298 |                                   asyncio
import time:      6176 |      69473 |                                 unittest.mock
import time:      1256 |       1256 |                                 torch.utils._ordered_set
import time:       749 |        749 |                                 torch.utils._traceback
import time:      1192 |       1192 |                                 torch.utils.weak
import time:     33637 |     106306 |                               torch._guards
import time:     10721 |     120538 |                             torch._logging._internal
import time:      2437 |     122975 |                           torch._logging._registrations
import time:       774 |     123748 |                         torch._logging
import time:      4824 |     130969 |                       torch.fx.proxy
import time:      7872 |     188811 |                     torch.fx._symbolic_trace
import time:       527 |        527 |                       torch.fx.config
import time:      3054 |       3580 |                     torch.fx.interpreter
import time:      4298 |       4298 |                     torch.fx.subgraph_rewriter
import time:      4816 |     205205 |                   torch.fx
import time:       134 |     205339 |                 torch.fx.experimental
import time:       875 |     206214 |               torch.fx.experimental._constant_symnode
import time:      1372 |     207585 |             torch.nested._internal.nested_int
import time:      2358 |     210601 |           torch.nested._internal.nested_tensor
import time:      1739 |     212339 |         torch.nested
import time:      2023 |       2023 |             torch.optim.optimizer
import time:      4990 |       7013 |           torch.optim.lr_scheduler
import time:      3445 |       3445 |           torch.optim.swa_utils
import time:      1574 |       1574 |           torch.optim._adafactor
import time:      1147 |       1147 |           torch.optim._muon
import time:      1240 |       1240 |           torch.optim.adadelta
import time:       991 |        991 |           torch.optim.adagrad
import time:      2643 |       2643 |           torch.optim.adam
import time:      1237 |       1237 |           torch.optim.adamax
import time:       744 |        744 |           torch.optim.adamw
import time:      1180 |       1180 |           torch.optim.asgd
import time:       920 |        920 |           torch.optim.lbfgs
import time:      1257 |       1257 |           torch.optim.nadam
import time:      1406 |       1406 |           torch.optim.radam
import time:      1249 |       1249 |           torch.optim.rmsprop
import time:      1308 |       1308 |           torch.optim.rprop
import time:       980 |        980 |           torch.optim.sgd
import time:       755 |        755 |             torch.optim._functional
import time:       922 |       1676 |           torch.optim.sparse_adam
import time:     11380 |      41381 |         torch.optim
import time:      2943 |       2943 |             gzip
import time:      7878 |       7878 |               torch.profiler._utils
import time:     12553 |      20431 |             torch.profiler._memory_profiler
import time:      6333 |      29705 |           torch.profiler.profiler
import time:       753 |        753 |           torch.profiler.itt
import time:      3865 |      34322 |         torch.profiler
import time:      1257 |       1257 |         torch.special
import time:       594 |        594 |           torch.xpu._utils
import time:      1812 |       1812 |           torch.xpu.graphs
import time:       994 |        994 |           torch.xpu.streams
import time:      3067 |       3067 |           torch.xpu.memory
import time:      2485 |       2485 |           torch.xpu.random
import time:      5051 |      14000 |         torch.xpu
import time:      1282 |       1282 |             torch.signal.windows.windows
import time:      1155 |       2437 |           torch.signal.windows
import time:       725 |       3161 |         torch.signal
import time:       428 |        428 |         torch.ao
import time:       472 |        472 |             torch.ao.nn
import time:      2962 |       2962 |               torch.ao.nn.intrinsic.modules.fused
import time:      1368 |       4329 |             torch.ao.nn.intrinsic.modules
import time:       893 |       5693 |           torch.ao.nn.intrinsic
import time:      1054 |       1054 |             torch.nn.intrinsic.modules.fused
import time:      1507 |       2560 |           torch.nn.intrinsic.modules
import time:      1077 |       1077 |                           torch.ao.nn.qat.modules.conv
import time:       901 |        901 |                           torch.ao.nn.qat.modules.embedding_ops
import time:       856 |        856 |                           torch.ao.nn.qat.modules.linear
import time:      1800 |       4632 |                         torch.ao.nn.qat.modules
import time:       534 |       5166 |                       torch.ao.nn.qat
import time:      2117 |       7282 |                     torch.ao.nn.intrinsic.qat.modules.conv_fused
import time:      1081 |       1081 |                     torch.ao.nn.intrinsic.qat.modules.linear_fused
import time:       759 |        759 |                     torch.ao.nn.intrinsic.qat.modules.linear_relu
import time:      1750 |      10871 |                   torch.ao.nn.intrinsic.qat.modules
import time:       649 |      11520 |                 torch.ao.nn.intrinsic.qat
import time:       667 |      12186 |               torch.nn.intrinsic.qat.modules.conv_fused
import time:       533 |        533 |               torch.nn.intrinsic.qat.modules.linear_fused
import time:       506 |        506 |               torch.nn.intrinsic.qat.modules.linear_relu
import time:      1158 |      14382 |             torch.nn.intrinsic.qat.modules
import time:       659 |      15041 |           torch.nn.intrinsic.qat
import time:      1060 |       1060 |                                       torch.ao.nn.quantizable.modules.activation
import time:      2441 |       2441 |                                       torch.ao.nn.quantizable.modules.rnn
import time:      2299 |       5799 |                                     torch.ao.nn.quantizable.modules
import time:       609 |       6408 |                                   torch.ao.nn.quantizable
import time:      1559 |       1559 |                                   torch.ao.nn.quantized.modules.activation
import time:       923 |        923 |                                   torch.ao.nn.quantized.modules.batchnorm
import time:       657 |        657 |                                     torch.ao.nn.quantized.modules.utils
import time:      2410 |       3066 |                                   torch.ao.nn.quantized.modules.conv
import time:       512 |        512 |                                   torch.ao.nn.quantized.modules.dropout
import time:       930 |        930 |                                   torch.ao.nn.quantized.modules.embedding_ops
import time:       871 |        871 |                                   torch.ao.nn.quantized.modules.functional_modules
import time:      1015 |       1015 |                                   torch.ao.nn.quantized.modules.linear
import time:      1034 |       1034 |                                   torch.ao.nn.quantized.modules.normalization
import time:       725 |        725 |                                   torch.ao.nn.quantized.modules.rnn
import time:      5689 |      22727 |                                 torch.ao.nn.quantized.modules
import time:       132 |      22859 |                               torch.ao.nn.quantized.modules.utils
import time:      2175 |      25034 |                             torch.ao.nn.quantized.functional
import time:      1488 |      26522 |                           torch.ao.nn.quantized
import time:      1360 |      27881 |                         torch.ao.nn.intrinsic.quantized.modules.bn_relu
import time:      1180 |       1180 |                         torch.ao.nn.intrinsic.quantized.modules.conv_add
import time:      1123 |       1123 |                         torch.ao.nn.intrinsic.quantized.modules.conv_relu
import time:       937 |        937 |                         torch.ao.nn.intrinsic.quantized.modules.linear_relu
import time:      2012 |      33131 |                       torch.ao.nn.intrinsic.quantized.modules
import time:       867 |      33997 |                     torch.ao.nn.intrinsic.quantized
import time:     10366 |      10366 |                             torch.ao.nn.quantized.dynamic.modules.conv
import time:      1303 |       1303 |                             torch.ao.nn.quantized.dynamic.modules.linear
import time:      2287 |       2287 |                             torch.ao.nn.quantized.dynamic.modules.rnn
import time:      3790 |      17744 |                           torch.ao.nn.quantized.dynamic.modules
import time:       563 |      18306 |                         torch.ao.nn.quantized.dynamic
import time:       810 |      19116 |                       torch.ao.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       739 |      19854 |                     torch.ao.nn.intrinsic.quantized.dynamic.modules
import time:       920 |      54771 |                   torch.ao.nn.intrinsic.quantized.dynamic
import time:       664 |      55434 |                 torch.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:      1562 |      56995 |               torch.nn.intrinsic.quantized.dynamic.modules
import time:       953 |      57948 |             torch.nn.intrinsic.quantized.dynamic
import time:       664 |        664 |               torch.nn.intrinsic.quantized.modules.bn_relu
import time:       452 |        452 |               torch.nn.intrinsic.quantized.modules.conv_relu
import time:       488 |        488 |               torch.nn.intrinsic.quantized.modules.linear_relu
import time:      1193 |       2795 |             torch.nn.intrinsic.quantized.modules
import time:       831 |      61573 |           torch.nn.intrinsic.quantized
import time:      1193 |      86058 |         torch.nn.intrinsic
import time:      1010 |       1010 |                         torch.ao.nn.qat.dynamic.modules.linear
import time:      1254 |       2263 |                       torch.ao.nn.qat.dynamic.modules
import time:       772 |       3035 |                     torch.ao.nn.qat.dynamic
import time:        77 |       3112 |                   torch.ao.nn.qat.dynamic.modules
import time:       106 |       3218 |                 torch.ao.nn.qat.dynamic.modules.linear
import time:       976 |       4194 |               torch.nn.qat.dynamic.modules.linear
import time:      1182 |       5376 |             torch.nn.qat.dynamic.modules
import time:       989 |       6365 |           torch.nn.qat.dynamic
import time:       493 |        493 |             torch.nn.qat.modules.conv
import time:       321 |        321 |             torch.nn.qat.modules.embedding_ops
import time:       349 |        349 |             torch.nn.qat.modules.linear
import time:      1044 |       2206 |           torch.nn.qat.modules
import time:       951 |       9521 |         torch.nn.qat
import time:       439 |        439 |           torch.nn.quantizable.modules
import time:       535 |        974 |         torch.nn.quantizable
import time:       544 |        544 |           torch.nn.quantized.dynamic
import time:       999 |        999 |           torch.nn.quantized.functional
import time:       557 |        557 |           torch.nn.quantized.modules
import time:       893 |       2992 |         torch.nn.quantized
import time:       401 |        401 |         torch._size_docs
import time:       352 |        352 |         torch._storage_docs
import time:      3097 |       3097 |         torch._tensor_docs
import time:       972 |        972 |                       torch.ao.quantization.quant_type
import time:      2157 |       3128 |                     torch.ao.quantization.utils
import time:     14840 |      17968 |                   torch.ao.quantization.observer
import time:      3880 |      21847 |                 torch.ao.quantization.fake_quantize
import time:       846 |        846 |                   torch.ao.quantization.fuser_method_mappings
import time:      1403 |       2248 |                 torch.ao.quantization.fuse_modules
import time:      2129 |       2129 |                 torch.ao.quantization.qconfig
import time:      1119 |       1119 |                 torch.ao.quantization.qconfig_mapping
import time:       764 |        764 |                         torch.ao.nn.quantized.reference.modules.utils
import time:      1919 |       2683 |                       torch.ao.nn.quantized.reference.modules.conv
import time:      1091 |       1091 |                       torch.ao.nn.quantized.reference.modules.linear
import time:      2303 |       2303 |                       torch.ao.nn.quantized.reference.modules.rnn
import time:       903 |        903 |                       torch.ao.nn.quantized.reference.modules.sparse
import time:      2420 |       9397 |                     torch.ao.nn.quantized.reference.modules
import time:       664 |      10060 |                   torch.ao.nn.quantized.reference
import time:      1318 |       1318 |                           torch.ao.nn.sparse.quantized.linear
import time:       935 |        935 |                           torch.ao.nn.sparse.quantized.utils
import time:      3372 |       5624 |                         torch.ao.nn.sparse.quantized.dynamic.linear
import time:       875 |       6499 |                       torch.ao.nn.sparse.quantized.dynamic
import time:      1095 |       7593 |                     torch.ao.nn.sparse.quantized
import time:       693 |       8286 |                   torch.ao.nn.sparse
import time:      1414 |       1414 |                   torch.ao.quantization.stubs
import time:      2595 |      22354 |                 torch.ao.quantization.quantization_mappings
import time:      1404 |       1404 |                 torch.ao.quantization.quantize
import time:       841 |        841 |                 torch.ao.quantization.quantize_jit
import time:      6785 |      58725 |               torch.ao.quantization
import time:       132 |      58857 |             torch.ao.quantization.fake_quantize
import time:       791 |      59648 |           torch.quantization.fake_quantize
import time:       773 |        773 |           torch.quantization.fuse_modules
import time:       717 |        717 |           torch.quantization.fuser_method_mappings
import time:       795 |        795 |           torch.quantization.observer
import time:       608 |        608 |           torch.quantization.qconfig
import time:       618 |        618 |           torch.quantization.quant_type
import time:       484 |        484 |           torch.quantization.quantization_mappings
import time:       449 |        449 |           torch.quantization.quantize
import time:       386 |        386 |           torch.quantization.quantize_jit
import time:       370 |        370 |           torch.quantization.stubs
import time:      4743 |      69586 |         torch.quantization
import time:       672 |        672 |         torch.quasirandom
import time:       348 |        348 |         torch.multiprocessing._atfork
import time:      1703 |       1703 |         torch._lobpcg
import time:       522 |        522 |             torch.masked._docs
import time:       782 |        782 |                   torch.masked.maskedtensor.core
import time:      8874 |       9655 |                 torch.masked.maskedtensor.binary
import time:      3939 |       3939 |                 torch.masked.maskedtensor.passthrough
import time:       699 |        699 |                   torch.masked.maskedtensor.creation
import time:      4827 |       5525 |                 torch.masked.maskedtensor.reductions
import time:     12272 |      12272 |                 torch.masked.maskedtensor.unary
import time:      3611 |      35000 |               torch.masked.maskedtensor
import time:       100 |      35099 |             torch.masked.maskedtensor.core
import time:      2148 |      37768 |           torch.masked._ops
import time:      2100 |      39868 |         torch.masked
import time:      1434 |       1434 |         torch.utils.dlpack
import time:       464 |        464 |                       torch._dispatch
import time:      1891 |       2354 |                     torch._dispatch.python
import time:      5352 |       5352 |                           torch._library.fake_profile
import time:       481 |        481 |                             torch.utils._mode_utils
import time:     18491 |      18972 |                           torch._subclasses.meta_utils
import time:       856 |        856 |                           torch.utils._stats
import time:      9824 |       9824 |                             torch.fx.experimental.sym_node
import time:     15103 |      24926 |                           torch._subclasses._fake_tensor_utils
import time:       696 |        696 |                             torch._custom_op
import time:     21423 |      22119 |                           torch._subclasses.fake_impls
import time:     30352 |     102574 |                         torch._subclasses.fake_tensor
import time:      1584 |       1584 |                         torch._subclasses.fake_utils
import time:      1308 |     105466 |                       torch._subclasses
import time:       105 |     105570 |                     torch._subclasses.meta_utils
import time:      2543 |     110466 |                   torch.fx.passes.shape_prop
import time:       338 |        338 |                   pydot
import time:      2229 |     113032 |                 torch.fx.passes.graph_drawer
import time:      3577 |       3577 |                 torch.fx.passes.graph_manipulation
import time:      2835 |       2835 |                         torch.fx.passes.utils.matcher_utils
import time:      1448 |       4282 |                       torch.fx.passes.utils.common
import time:       644 |       4926 |                     torch.fx.passes.utils
import time:      2242 |       2242 |                     torch.fx.passes.tools_common
import time:      3363 |      10529 |                   torch.fx.passes.split_utils
import time:      4946 |      15475 |                 torch.fx.passes.net_min_base
import time:      1872 |       1872 |                 torch.fx.passes.operator_support
import time:      1040 |       1040 |                 torch.fx.passes.param_fetch
import time:       953 |        953 |                 torch.fx.passes.regional_inductor
import time:      3178 |       3178 |                 torch.fx.passes.reinplace
import time:       795 |        795 |                   torch.fx._utils
import time:      3651 |       3651 |                     torch._subclasses.functional_tensor
import time:       760 |        760 |                     torch.utils._thunk
import time:       470 |        470 |                     torch.fx.experimental._backward_state
import time:     11409 |      16289 |                   torch.fx.experimental.proxy_tensor
import time:      4540 |      21623 |                 torch.fx.passes.runtime_assert
import time:      1915 |       1915 |                 torch.fx.passes.split_module
import time:      6594 |       6594 |                 torch.fx.passes.splitter_base
import time:      2134 |     171388 |               torch.fx.passes
import time:       986 |        986 |                 torch.fx.passes.infra.pass_base
import time:      2573 |       3558 |               torch.fx.passes.infra.pass_manager
import time:       849 |     175794 |             torch.fx.passes.infra
import time:        68 |     175861 |           torch.fx.passes.infra.pass_base
import time:      1453 |       1453 |           torch.export.custom_ops
import time:      1102 |       1102 |           torch.export._state_dict_utils
import time:       909 |        909 |                 torch.export._tree_utils
import time:     18596 |      18596 |                 torch.export.graph_signature
import time:      1032 |       1032 |                       torch._custom_op.autograd
import time:      5471 |       6502 |                     torch._custom_op.impl
import time:      1329 |       7831 |                   torch._custom_ops
import time:      5372 |       5372 |                   torch._export.utils
import time:      5101 |       5101 |                               torch._higher_order_ops.schema
import time:      6160 |      11260 |                             torch._higher_order_ops.utils
import time:     10926 |      22185 |                           torch._higher_order_ops.auto_functionalize
import time:      3482 |      25667 |                         torch._higher_order_ops.base_hop
import time:     13007 |      38673 |                       torch._higher_order_ops._invoke_quant
import time:      1587 |       1587 |                       torch._higher_order_ops.aoti_call_delegate
import time:      3127 |       3127 |                       torch._higher_order_ops.associative_scan
import time:      3925 |       3925 |                       torch._higher_order_ops.cond
import time:      4885 |       4885 |                         torch._higher_order_ops.invoke_leaf_function
import time:      1601 |       1601 |                         torch._higher_order_ops.print
import time:       450 |        450 |                             torch._functorch._aot_autograd
import time:      1987 |       2437 |                           torch._functorch._aot_autograd.utils
import time:      2350 |       4787 |                         torch._higher_order_ops.torchbind
import time:      4525 |      15796 |                       torch._higher_order_ops.effects
import time:      1190 |       1190 |                       torch._higher_order_ops.executorch_call_delegate
import time:      4174 |       4174 |                       torch._higher_order_ops.flat_apply
import time:       488 |        488 |                             torch.testing._internal
import time:      1581 |       2069 |                           torch.testing._internal.logging_tensor
import time:      3942 |       6010 |                         torch.utils.checkpoint
import time:      4506 |      10515 |                       torch._higher_order_ops.flex_attention
import time:       856 |        856 |                       torch._higher_order_ops.foreach_map
import time:      1162 |       1162 |                       torch._higher_order_ops.hints_wrap
import time:      1538 |       1538 |                       torch._higher_order_ops.inline_asm_elementwise
import time:      1401 |       1401 |                             torch.utils._debug_mode._utils
import time:      3052 |       4453 |                           torch.utils._debug_mode._calls
import time:    114723 |     114723 |                           torch.utils._debug_mode._mode
